datetime,symbol,open,high,low,close,volume
2024-01-01 03:00:00,BINANCE:SOLUSDT,101.72,102.79,101.56,102.07,127086.65
2024-01-01 03:30:00,BINANCE:SOLUSDT,102.05,102.5,101.63,101.96,69594.28
2024-01-01 04:00:00,BINANCE:SOLUSDT,101.96,102.56,101.51,102.38,80512.63
2024-01-01 04:30:00,BINANCE:SOLUSDT,102.38,104.75,102.38,104.12,161582.7
2024-01-01 05:00:00,BINANCE:SOLUSDT,104.11,104.21,103.22,103.59,66037.45
2024-01-01 05:30:00,BINANCE:SOLUSDT,103.59,104.34,103.53,103.69,59905.82
2024-01-01 06:00:00,BINANCE:SOLUSDT,103.69,103.99,102.58,102.91,65973.76
2024-01-01 06:30:00,BINANCE:SOLUSDT,102.92,103.63,102.54,103.07,60775.44
2024-01-01 07:00:00,BINANCE:SOLUSDT,103.07,103.98,101.53,102.15,105925.34
2024-01-01 07:30:00,BINANCE:SOLUSDT,102.14,102.62,101.83,102.62,51857.01
2024-01-01 08:00:00,BINANCE:SOLUSDT,102.63,102.83,102.22,102.31,32815.25
2024-01-01 08:30:00,BINANCE:SOLUSDT,102.3,102.34,101.44,101.64,49984.44
2024-01-01 09:00:00,BINANCE:SOLUSDT,101.64,102.19,101.54,102.04,46540.62
2024-01-01 09:30:00,BINANCE:SOLUSDT,102.03,102.52,101.92,102.34,30242.13
2024-01-01 10:00:00,BINANCE:SOLUSDT,102.34,102.81,101.77,102.38,61791.59
2024-01-01 10:30:00,BINANCE:SOLUSDT,102.39,103.25,102.24,102.51,46489.73
2024-01-01 11:00:00,BINANCE:SOLUSDT,102.49,102.98,102.37,102.48,34498.41
2024-01-01 11:30:00,BINANCE:SOLUSDT,102.48,102.78,101.95,102.48,53417.22
2024-01-01 12:00:00,BINANCE:SOLUSDT,102.49,102.69,101.78,102.3,48102.93
2024-01-01 12:30:00,BINANCE:SOLUSDT,102.3,104.31,102.3,104.03,136091.1
2024-01-01 13:00:00,BINANCE:SOLUSDT,104.04,104.95,104.0,104.13,163248.97
2024-01-01 13:30:00,BINANCE:SOLUSDT,104.14,104.58,103.94,104.14,76736.03
2024-01-01 14:00:00,BINANCE:SOLUSDT,104.14,104.59,103.74,103.92,68095.28
2024-01-01 14:30:00,BINANCE:SOLUSDT,103.92,104.46,103.75,104.32,64348.79
2024-01-01 15:00:00,BINANCE:SOLUSDT,104.33,104.97,103.86,104.56,71838.82
2024-01-01 15:30:00,BINANCE:SOLUSDT,104.56,106.1,104.04,104.76,195338.99
2024-01-01 16:00:00,BINANCE:SOLUSDT,104.76,105.65,104.36,105.57,114648.63
2024-01-01 16:30:00,BINANCE:SOLUSDT,105.56,105.81,105.19,105.31,76625.52
2024-01-01 17:00:00,BINANCE:SOLUSDT,105.31,105.34,104.28,104.57,85854.21
2024-01-01 17:30:00,BINANCE:SOLUSDT,104.57,104.91,104.29,104.39,50888.32
2024-01-01 18:00:00,BINANCE:SOLUSDT,104.39,105.65,104.15,105.46,63689.5
2024-01-01 18:30:00,BINANCE:SOLUSDT,105.46,106.39,104.94,105.98,120208.5
2024-01-01 19:00:00,BINANCE:SOLUSDT,105.99,108.39,105.83,107.02,298528.04
2024-01-01 19:30:00,BINANCE:SOLUSDT,107.03,107.35,106.33,106.64,99268.56
2024-01-01 20:00:00,BINANCE:SOLUSDT,106.63,106.88,106.05,106.5,69501.71
2024-01-01 20:30:00,BINANCE:SOLUSDT,106.49,107.2,106.14,107.09,76081.74
2024-01-01 21:00:00,BINANCE:SOLUSDT,107.09,108.48,107.09,108.12,164274.3
2024-01-01 21:30:00,BINANCE:SOLUSDT,108.12,108.3,107.68,107.88,86442.2
2024-01-01 22:00:00,BINANCE:SOLUSDT,107.88,109.0,107.4,108.56,112236.41
2024-01-01 22:30:00,BINANCE:SOLUSDT,108.57,109.07,108.36,108.81,106100.67
2024-01-01 23:00:00,BINANCE:SOLUSDT,108.82,109.47,107.98,108.5,204140.98
2024-01-01 23:30:00,BINANCE:SOLUSDT,108.49,108.72,107.59,107.88,107985.55
2024-01-02 00:00:00,BINANCE:SOLUSDT,107.9,108.33,107.47,107.76,119515.28
2024-01-02 00:30:00,BINANCE:SOLUSDT,107.75,108.22,107.57,108.04,62714.84
2024-01-02 01:00:00,BINANCE:SOLUSDT,108.03,108.14,107.12,107.72,69255.96
2024-01-02 01:30:00,BINANCE:SOLUSDT,107.72,108.11,107.51,108.09,43464.64
2024-01-02 02:00:00,BINANCE:SOLUSDT,108.09,109.02,108.08,109.01,112123.06
2024-01-02 02:30:00,BINANCE:SOLUSDT,109.0,109.93,108.84,109.91,130930.37
2024-01-02 03:00:00,BINANCE:SOLUSDT,109.93,109.96,108.46,108.92,242452.24
2024-01-02 03:30:00,BINANCE:SOLUSDT,108.94,110.96,108.83,110.54,164355.55
2024-01-02 04:00:00,BINANCE:SOLUSDT,110.54,113.15,110.52,111.93,367552.93
2024-01-02 04:30:00,BINANCE:SOLUSDT,111.93,112.25,110.56,111.05,295427.38
2024-01-02 05:00:00,BINANCE:SOLUSDT,111.04,111.91,110.94,111.4,146908.24
2024-01-02 05:30:00,BINANCE:SOLUSDT,111.39,111.94,111.07,111.92,108509.1
2024-01-02 06:00:00,BINANCE:SOLUSDT,111.92,112.0,110.74,111.05,106038.2
2024-01-02 06:30:00,BINANCE:SOLUSDT,111.05,111.43,110.94,111.41,81447.03
2024-01-02 07:00:00,BINANCE:SOLUSDT,111.41,111.77,110.89,111.67,74566.39
2024-01-02 07:30:00,BINANCE:SOLUSDT,111.67,112.89,111.4,112.46,119308.46
2024-01-02 08:00:00,BINANCE:SOLUSDT,112.46,113.2,112.43,112.73,135817.5
2024-01-02 08:30:00,BINANCE:SOLUSDT,112.73,113.07,112.13,112.61,111249.87
2024-01-02 09:00:00,BINANCE:SOLUSDT,112.62,112.91,111.78,112.88,89858.96
2024-01-02 09:30:00,BINANCE:SOLUSDT,112.88,113.29,112.19,112.64,94838.84
2024-01-02 10:00:00,BINANCE:SOLUSDT,112.64,114.5,112.62,114.46,225465.62
2024-01-02 10:30:00,BINANCE:SOLUSDT,114.46,114.7,113.95,114.47,174090.93
2024-01-02 11:00:00,BINANCE:SOLUSDT,114.47,114.87,113.67,114.72,228397.93
2024-01-02 11:30:00,BINANCE:SOLUSDT,114.73,115.06,114.0,114.49,189145.16
2024-01-02 12:00:00,BINANCE:SOLUSDT,114.5,116.57,114.33,116.52,224107.76
2024-01-02 12:30:00,BINANCE:SOLUSDT,116.52,116.95,115.69,115.87,265628.31
2024-01-02 13:00:00,BINANCE:SOLUSDT,115.86,116.61,114.73,115.83,178939.73
2024-01-02 13:30:00,BINANCE:SOLUSDT,115.8,115.84,114.3,115.29,198401.1
2024-01-02 14:00:00,BINANCE:SOLUSDT,115.28,115.68,114.87,115.12,144777.99
2024-01-02 14:30:00,BINANCE:SOLUSDT,115.12,115.23,112.55,113.86,260453.5
2024-01-02 15:00:00,BINANCE:SOLUSDT,113.86,114.08,113.16,114.01,106227.44
2024-01-02 15:30:00,BINANCE:SOLUSDT,114.0,114.38,112.79,112.94,133150.74
